Event Type,Latitude,Longitude,start_datetime,end_datetime
Construction,40.63,-74.01,2012-08-24 03:39:28,2012-08-24 04:38:28
Construction,40.63,-74.01,2012-08-24 04:39:28,2012-08-24 05:38:28
Construction,40.63,-74.01,2012-08-24 05:39:28,2012-08-24 06:38:28
Construction,40.63,-74.01,2012-08-24 06:39:28,2012-08-24 07:38:28
Construction,40.63,-74.01,2012-08-24 07:39:28,2012-08-24 08:38:28
Construction,40.63,-74.01,2012-08-24 08:39:28,2012-08-24 09:38:28
Construction,40.63,-74.01,2012-08-24 09:39:28,2012-08-24 10:38:28
Construction,40.63,-74.01,2012-08-24 10:39:28,2012-08-24 11:38:28
Construction,40.63,-74.01,2012-08-24 11:39:28,2012-08-24 12:38:28
Construction,40.63,-74.01,2012-08-24 12:39:28,2012-08-24 13:38:28
Construction,40.63,-74.01,2012-08-24 13:39:28,2012-08-24 14:38:28
Construction,40.63,-74.01,2012-08-24 14:39:28,2012-08-24 15:38:28
Construction,40.63,-74.01,2012-08-24 15:39:28,2012-08-24 16:38:28
Construction,40.63,-74.01,2012-08-24 16:39:28,2012-08-24 17:38:28
Construction,40.63,-74.01,2012-08-24 17:39:28,2012-08-24 18:38:28
Construction,40.63,-74.01,2012-08-24 18:39:28,2012-08-24 19:38:28
Construction,40.63,-74.01,2012-08-24 19:39:28,2012-08-24 20:38:28
Construction,40.63,-74.01,2012-08-24 20:39:28,2012-08-24 21:38:28
Construction,40.63,-74.01,2012-08-24 21:39:28,2012-08-24 22:38:28
Construction,40.63,-74.01,2012-08-24 22:39:28,2012-08-24 23:38:28
Construction,40.63,-74.01,2012-08-24 23:39:28,2012-08-25 00:38:28
Construction,40.63,-74.01,2012-08-25 00:39:28,2012-08-25 01:38:28
Construction,40.63,-74.01,2012-08-25 01:39:28,2012-08-25 02:38:28
Construction,40.63,-74.01,2012-08-25 02:39:28,2012-08-25 03:38:28
Construction,40.63,-74.01,2012-08-25 03:39:28,2012-08-25 04:38:28
Construction,40.63,-74.01,2012-08-25 04:39:28,2012-08-25 05:38:28
Construction,40.63,-74.01,2012-08-25 05:39:28,2012-08-25 06:38:28
Construction,40.63,-74.01,2012-08-25 06:39:28,2012-08-25 07:38:28
Construction,40.63,-74.01,2012-08-25 07:39:28,2012-08-25 08:38:28
Construction,40.63,-74.01,2012-08-25 08:39:28,2012-08-25 09:38:28
