Event Type,Create Time,Close Time,Latitude,Longitude
Hockey game,2012-12-17 08:36:50,2012-12-22 10:47:00,40.75,-73.98
Special event,2012-12-04 08:53:41,2012-12-12 10:16:00,40.81,-74.06
Concert,2012-12-04 05:35:41,2012-12-14 10:47:00,40.78,-73.98
Concert,2012-12-04 05:32:15,2012-12-05 11:16:00,40.78,-73.98
Concert,2012-12-04 05:24:17,2012-12-04 05:25:00,40.75,-73.98
Concert,2012-12-04 03:32:17,2012-12-12 11:46:00,40.75,-73.98
Football game,2012-11-06 05:24:31,2012-11-20 12:26:00,40.81,-74.07
Special event,2012-11-06 05:20:33,2012-11-11 05:18:00,40.81,-74.07
Concert,2012-10-23 09:46:35,2012-11-20 12:26:00,40.74,-73.98
Concert,2012-10-23 09:44:59,2012-10-29 10:08:00,40.74,-73.98
Boxing,2012-10-23 09:41:15,2012-11-10 10:49:00,40.74,-73.98
Boxing,2012-10-23 09:39:41,2012-10-30 05:35:00,40.74,-73.98
Concert,2012-10-23 09:37:27,2012-10-29 10:08:00,40.78,-73.98
Concert,2012-10-23 09:32:39,2012-10-29 10:08:00,40.78,-73.98
Concert,2012-10-23 09:29:41,2012-10-30 05:35:00,40.78,-73.98
Concert,2012-10-23 09:28:04,2012-10-29 10:08:00,40.78,-73.98
Show,2012-10-23 09:25:53,2012-10-30 05:35:00,40.78,-73.98
Show,2012-10-23 09:23:49,2012-11-08 11:18:00,40.78,-73.98
Show,2012-10-23 09:21:30,2012-10-29 10:08:00,40.78,-73.98
Concert,2012-10-23 09:19:53,2012-11-03 11:18:00,40.78,-73.98
Concert,2012-10-23 09:18:08,2012-10-29 10:08:00,40.78,-73.98
Concert,2012-10-23 09:16:37,2012-10-30 11:17:00,40.78,-73.98
Concert,2012-10-23 09:14:25,2012-10-26 11:17:00,40.78,-73.98
Concert,2012-10-23 09:12:47,2012-10-24 11:18:00,40.78,-73.98
Concert,2012-10-23 09:10:33,2012-10-29 10:08:00,40.75,-73.98
Wrestling,2012-10-23 07:19:07,2012-12-27 10:47:00,40.75,-73.98
Concert,2012-10-23 07:17:14,2012-12-14 11:16:00,40.75,-73.98
Concert,2012-10-23 07:15:53,2012-12-11 10:46:00,40.75,-73.98
Concert,2012-10-23 07:13:50,2012-10-30 05:35:00,40.75,-73.99
Basketball game,2012-10-23 07:11:39,2012-12-05 12:15:00,40.75,-73.98
Concert,2012-10-23 07:09:04,2012-10-30 05:35:00,40.75,-73.98
Boxing,2012-10-23 07:07:25,2012-12-01 10:01:00,40.75,-73.98
Basketball game,2012-10-23 07:03:32,2012-10-29 10:08:00,40.75,-73.98
Concert,2012-10-23 06:58:34,2012-11-20 10:48:00,40.75,-73.98
Basketball game,2012-10-23 04:34:35,2012-10-29 10:08:00,40.81,-74.06
Concert,2012-10-18 11:12:05,2012-10-29 10:08:00,40.81,-74.06
Concert,2012-10-18 11:09:20,2012-11-18 10:16:00,40.81,-74.06
Soccer game,2012-10-16 12:40:52,2012-10-29 10:08:00,40.81,-74.07
Baseball game,2012-10-12 09:09:36,2012-10-14 08:16:00,40.82,-73.92
Baseball game,2012-10-12 06:54:35,2012-10-12 08:15:00,40.82,-73.92
Baseball game,2012-10-12 06:50:45,2012-10-12 06:52:00,40.82,-73.92
Baseball game,2012-10-09 10:35:44,2012-10-11 10:47:00,40.82,-73.92
Baseball game,2012-10-08 08:20:26,2012-10-10 10:48:00,40.82,-73.92
Concert,2012-09-20 01:08:18,2012-09-26 02:38:00,40.83,-74.07
Baseball game,2012-09-18 05:29:40,2012-09-18 10:19:00,40.82,-73.92
Baseball game,2012-09-18 05:14:44,2012-09-18 10:20:00,40.75,-73.84
