Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude,Georeference
incident,MTA NYC Transit Subway,# 4 Line,Southbound,from Bronx,Bronx,NY,02/14/2016 06:05:49 AM,02/14/2016 07:03:27 AM,"Due to Earlier equipment problems at Burnside Avenue Station, southbound # 4 Line from Bedford Park Boulevard-Lehman College Station (Bronx) to Burnside Avenue Station (Bronx) regular service resumed.",MTA NYC Transit Subway,40.85386,-73.90738,POINT (-73.90738 40.85386)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,02/14/2016 08:38:14 AM,02/14/2016 09:00:20 AM,"accident, left lane blocked on I-90 - NYS Thruway westbound between Exit 56 (I-90) - Blasdell (Rte 179) and Exit 57 (I-90) - Hamburg (Rte 75) starting 8:37 AM, 02/14/2016 until further notice.",NYSDOT,42.758817,-78.826492,POINT (-78.826492 42.758817)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Seneca,NY,02/14/2016 08:58:15 AM,02/14/2016 10:27:08 AM,"accident on I-90 - NYS Thruway westbound between Exit 40 (I-90) - Weedsport (Rte 34) and Exit 41 (I-90) - Waterloo (Rte 414) starting 8:57 AM, 02/14/2016 until further notice.",NYSDOT,42.99385,-76.745204,POINT (-76.745204 42.99385)
construction,MTA NYC Transit Subway,# 1 Line,Both directions,between Manhattan,New York,NY,06/22/2015 04:59:00 AM,06/22/2015 05:15:00 AM,"Due to Construction, both directions # 1 Line between 14th Street Station (Manhattan) and South Ferry Station (Manhattan) take # 2 Line or # 3 Line instead Not currently scheduled",MTA NYC Transit Subway,40.738614,-73.999681,POINT (-73.999681 40.738614)
accident,NYSDOT,I-95 - New England Thruway,Northbound,,Westchester,NY,06/02/2015 03:21:00 AM,06/02/2015 03:32:00 AM,"accident, left lane blocked on I-95 - New England Thruway southbound at Exit 16 (I-95) - New Rochelle - North Ave - Cedar St starting 3:22 AM, 06/02/2015 until further notice.",NYSDOT,40.917126,-73.781301,POINT (-73.781301 40.917126)
parking related,Port Authority New York/New Jersey,La Guardia Airport,,New York,Queens,NY,04/15/2015 11:41:00 AM,,Parking related on La Guardia Airport at Terminal A Parking P6 (New York) lot is 96% occupied,Port Authority New York/New Jersey,40.7724,-73.8856,POINT (-73.8856 40.7724)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Madison,NY,02/15/2016 01:42:18 PM,02/15/2016 02:30:21 PM,"accident on I-90 - NYS Thruway eastbound at Exit 34 (I-90) - Canastota (Rte 13) starting 1:41 PM, 02/15/2016 until further notice.",NYSDOT,43.092747,-75.747235,POINT (-75.747235 43.092747)
disabled vehicle,MTA Bridges and Tunnels,Throgs Neck Bridge,Northbound,New York,Bronx/Queens,NY,05/26/2015 06:53:00 AM,05/26/2015 07:07:00 AM,Disabled vehicle on Throgs Neck Bridge northbound Bronx Bound (New York) 1 lane closed,MTA Bridges and Tunnels,40.8129,-73.794,POINT (-73.794 40.8129)
accident,MTA Bridges and Tunnels,Bronx-Whitestone Bridge,Northbound,New York,Bronx/Queens,NY,02/15/2016 04:40:33 AM,02/15/2016 04:50:34 AM,Accident on Bronx-Whitestone Bridge northbound Bronx Bound (New York) 2 lanes closed,MTA Bridges and Tunnels,40.8039,-73.8303,POINT (-73.8303 40.8039)
incident,MTA NYC Transit Bus,All Buses,,,,NY,02/15/2016 04:44:39 PM,02/16/2016 05:06:35 AM,Due to Weather related All Buses in Queens are operating with delays,MTA NYC Transit Bus,40.717241,-73.827438,POINT (-73.827438 40.717241)
disabled vehicle,NYSDOT,US 62,Northbound,,Erie,NY,02/15/2016 06:17:24 PM,02/15/2016 06:19:29 PM,"disabled vehicle on US 62 southbound at Creekside Drive until 10:16 PM, 02/15/16",NYSDOT,43.030639,-78.822331,POINT (-78.822331 43.030639)
heavy traffic,NJ DOT - TOC North,NJ 17,southbound,,,NJ,04/14/2010 05:26:44 AM,04/14/2010 06:26:32 AM,NJ DOT - TOC North: Heavy traffic on NJ 17 Southbound from NJ 4 (Paramus) to I-80 (Lodi)  delays due to volume,"TRANSCOM, Jersey City",40.91,-74.07,POINT (-74.07 40.91)
accident,NYSDOT,I-87 - NYS Thruway,Northbound,,Orange,NY,02/15/2016 08:14:31 AM,02/15/2016 08:26:16 AM,"accident, center lane blocked on I-87 - NYS Thruway northbound between Exit 15A (I-87) - Suffern (Rte 17N - Route 59) and Woodbury Toll Barrier starting 8:13 AM, 02/15/2016 until further notice.",NYSDOT,41.21295,-74.18142,POINT (-74.18142 41.21295)
accident,NYSDOT,I-87 - NYS Thruway,Northbound,,Greene,NY,02/15/2016 08:50:27 PM,02/15/2016 09:13:20 PM,"accident on I-87 - NYS Thruway northbound at Exit 21 (I-87) - Catskill (Rte 23) starting 8:49 PM, 02/15/2016 until further notice.",NYSDOT,42.250298,-73.884049,POINT (-73.884049 42.250298)
vehicle fire,New Jersey Turnpike Authority,Garden State Parkway,Southbound,Hazlet Twp,Monmouth,NJ,05/07/2015 12:25:00 PM,05/07/2015 12:40:00 PM,Vehicle fire on Garden State Parkway local lanes southbound South of Exit 117 - NJ 36 (Hazlet Twp) right lane blocked,New Jersey Turnpike Authority,40.409244,-74.199497,POINT (-74.199497 40.409244)
vehicle fire,New Jersey DOT - Statewide Traffic Management Center,I-80,Eastbound,Montville Twp,Morris,NJ,01/03/2022 04:40:13 AM,01/03/2022 05:35:51 AM,,New Jersey DOT - Statewide Traffic Management Center,40.865443,-74.332208,POINT (-74.332208 40.865443)
accident,New Jersey Turnpike Authority,New Jersey Turnpike - Eastern Spur,Northbound,Ridgefield,Bergen,NJ,02/15/2016 11:44:05 PM,02/16/2016 12:37:54 AM,Accident on New Jersey Turnpike - Eastern Spur northbound Vince Lombardi Service Area (Ridgefield) right lane blocked,New Jersey Turnpike Authority,40.816535,-74.028205,POINT (-74.028205 40.816535)
delays,NJ DOT - STMC,I-78,westbound,Springfield Twp,Union,NJ,04/10/2014 03:06:00 AM,04/10/2014 06:41:00 AM,NJ DOT - STMC: Delays on I-78 westbound between Exit 48 - NJ 24 West (Springfield Twp)  and Exit 45 - CR 527/Glenside Ave (Summit),NJ DOT - STMC,40.71,-74.32,POINT (-74.32 40.71)
accident,NYSDOT,I-95 - New England Thruway,Northbound,,Westchester,NY,04/29/2015 05:21:00 AM,04/29/2015 06:12:00 AM,"accident on I-95 - New England Thruway southbound at Exit 18B (I-95) - White Plains starting 5:21 AM, 04/29/2015 until further notice.",NYSDOT,40.962289,-73.736218,POINT (-73.736218 40.962289)
accident,NYSDOT,NY 33,Eastbound,,Erie,NY,02/16/2016 03:19:32 PM,02/16/2016 03:25:25 PM,"accident on NY 33 westbound at City of Buffalo; Town of Cheektowaga Line; Eggert Road; CR 201 until 3:18 PM, 02/17/16",NYSDOT,42.933373,-78.799312,POINT (-78.799312 42.933373)
,NYSDOT,Garden State Pkwy N,,,,,09/23/2022 03:41:12 PM,09/23/2022 04:44:27 PM,,NYSDOT,40.691404,-74.267019,POINT (-74.267019 40.691404)
incident,MTA NYC Transit Bus,QM3 Bus,,from New York,New York,NY,01/03/2022 04:46:21 PM,01/03/2022 06:14:56 PM,,MTA NYC Transit Bus,40.746026,-73.97858,POINT (-73.97858 40.746026)
delays,New Jersey DOT - Statewide Traffic Management Center,I-80,Eastbound,Paterson,Passaic,NJ,05/26/2015 08:19:00 AM,05/26/2015 09:26:00 AM,Delays on I-80 eastbound Exit 60 - NJ 20 (Paterson) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.901171,-74.140451,POINT (-74.140451 40.901171)
snow,WTA,NY 90,both directions,Homer,Cortland,NY,01/29/2010 11:53:34 AM,01/30/2010 03:33:27 AM,WTA: snow on NY 90 both directions between South Main Street; NY 41; START ROUTE NY 90 in Homer and Town of Summerhill; Town of Homer Line,WTA,42.63,-76.17,POINT (-76.17 42.63)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,from North Bergen Twp,Hudson,NJ,01/03/2022 04:55:45 AM,01/03/2022 05:54:49 AM,,NJ Transit Rail,40.78733,-74.031263,POINT (-74.031263 40.78733)
