Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
football game,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,12/13/2025 03:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,08/04/2023 06:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,07/29/2023 07:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,07/06/2023 07:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
fair,Meadowlands Complex,Meadowlands Sports Complex,,East Rutherford,Bergen,NJ,06/22/2023 12:00:00 PM,,,Meadowlands Complex,40.814458,-74.071969
festival,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,06/16/2023 12:00:00 PM,,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,05/26/2023 06:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,05/19/2023 05:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
festival,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,05/06/2023 11:00:00 AM,,,Meadowlands Complex,40.81033,-74.068414
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/29/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,04/29/2023 10:00:00 AM,,,Meadowlands Complex,40.81033,-74.068414
concert,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,04/28/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/28/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
racing,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,04/22/2023 12:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
kids show/performance,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/22/2023 10:30:00 AM,,,Madison Square Garden,40.75002,-73.99219
show,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/16/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/15/2023 09:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/15/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,04/15/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/14/2023 07:30:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/13/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/12/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/11/2023 07:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Radio City Music Hall,,Manhattan,New York,NY,04/06/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/04/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/31/2022 09:00:13 PM,12/31/2022 11:58:54 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/31/2022 06:20:13 PM,12/31/2022 10:00:45 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Meadowlands Complex,Meadowlands Sports Complex,,at East Rutherford,Bergen,NJ,12/31/2022 08:00:13 AM,12/31/2022 04:02:53 PM,,Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/30/2022 07:30:13 PM,12/30/2022 11:01:22 PM,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/30/2022 06:20:13 PM,12/30/2022 10:02:45 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/30/2022 02:00:13 PM,12/30/2022 04:02:54 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/28/2022 07:30:16 PM,12/28/2022 10:59:00 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/28/2022 05:00:14 PM,12/28/2022 06:58:51 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/28/2022 02:00:13 PM,12/28/2022 03:58:56 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/27/2022 05:00:13 PM,12/27/2022 07:01:30 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 10:00:12 PM,12/26/2022 11:59:49 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/26/2022 07:30:13 PM,12/26/2022 10:59:42 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 07:00:12 PM,12/26/2022 08:57:46 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 01:00:13 PM,12/26/2022 02:59:02 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/25/2022 10:00:13 PM,12/26/2022 12:02:51 AM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/25/2022 07:30:16 PM,12/25/2022 09:30:59 PM,,Madison Square Garden,40.759902,-73.980393
