,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2012-06-01 00:15:43,2012-06-01 00:25:49,3,1.3,1,N,163,48,1,6.9,0.5,0.5,1.58,0.0,0.0,9.48,,
1,1,2012-06-01 00:28:08,2012-06-01 00:44:51,1,2.9,4,N,48,79,1,10.9,0.5,0.5,2.97,0.0,0.0,14.87,,
2,1,2012-06-01 00:59:50,2012-06-01 01:09:12,2,2.2,1,N,170,249,1,8.1,0.5,0.5,1.82,0.0,0.0,10.92,,
3,1,2012-06-01 00:20:29,2012-06-01 00:38:02,1,2.4,1,N,79,87,1,10.9,0.5,0.5,2.97,0.0,0.0,14.87,,
4,1,2012-06-01 00:44:40,2012-06-01 01:02:42,1,7.0,1,N,231,151,1,18.5,0.5,0.5,3.9,0.0,0.0,23.4,,
5,1,2012-06-01 00:00:48,2012-06-01 00:32:07,2,7.2,1,N,90,228,1,21.3,0.5,0.5,4.46,0.0,0.0,26.76,,
6,1,2012-06-01 00:39:12,2012-06-01 00:46:47,2,1.7,1,N,181,189,2,6.9,0.5,0.5,0.0,0.0,0.0,7.9,,
7,1,2012-06-01 00:11:34,2012-06-01 00:15:31,1,4.3,1,N,142,146,2,2.5,0.5,0.5,0.0,0.0,0.0,3.5,,
8,1,2012-06-01 00:27:53,2012-06-01 00:37:03,2,2.0,1,N,43,107,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
9,1,2012-06-01 00:45:59,2012-06-01 00:53:04,2,1.6,1,N,164,230,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
10,1,2012-06-01 00:16:54,2012-06-01 00:28:15,1,2.5,1,N,186,79,2,9.3,0.5,0.5,0.0,0.0,0.0,10.3,,
11,1,2012-06-01 00:39:54,2012-06-01 00:43:49,1,0.7,1,N,211,158,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
12,1,2012-06-01 00:46:05,2012-06-01 00:57:09,1,2.3,1,N,158,170,1,8.9,0.5,0.5,1.0,0.0,0.0,10.9,,
13,1,2012-06-01 00:30:15,2012-06-01 00:48:28,2,4.0,1,N,164,145,1,13.7,0.5,0.5,2.9,0.0,0.0,17.6,,
14,2,2012-06-01 00:33:00,2012-06-01 00:35:00,1,0.81,1,,264,264,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
15,1,2012-06-01 00:36:19,2012-06-01 00:47:29,1,3.4,1,N,211,48,1,10.1,0.5,0.5,2.22,0.0,0.0,13.32,,
16,1,2012-06-01 00:49:00,2012-06-01 00:54:59,1,1.5,1,N,48,143,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
17,1,2012-06-01 00:04:37,2012-06-01 00:17:50,1,2.9,4,N,114,107,1,10.1,0.5,0.5,2.22,0.0,0.0,13.32,,
18,1,2012-06-01 00:02:08,2012-06-01 00:19:13,1,8.2,1,N,138,236,1,20.1,0.5,0.5,5.18,4.8,0.0,31.08,,
19,1,2012-06-01 00:05:23,2012-06-01 00:20:39,1,2.9,1,N,158,48,1,10.9,0.5,0.5,2.38,0.0,0.0,14.28,,
20,1,2012-06-01 00:27:26,2012-06-01 00:35:50,1,1.0,1,N,68,90,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
21,1,2012-06-01 00:44:31,2012-06-01 00:49:55,3,1.3,1,N,249,107,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
22,2,2012-06-01 00:05:00,2012-06-01 00:23:00,1,8.28,1,,74,148,1,20.5,0.5,0.5,2.0,0.0,0.0,23.5,,
23,2,2012-06-01 00:41:00,2012-06-01 01:06:00,1,6.52,1,,79,238,2,18.1,0.5,0.5,0.0,0.0,0.0,19.1,,
24,1,2012-06-01 00:19:22,2012-06-01 00:33:29,1,4.5,1,N,114,239,1,12.9,0.5,0.5,4.17,0.0,0.0,18.07,,
25,1,2012-06-01 00:24:17,2012-06-01 00:27:37,1,0.9,1,N,236,237,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
26,1,2012-06-01 00:39:27,2012-06-01 00:41:34,1,0.7,1,N,236,237,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
27,1,2012-06-01 00:45:54,2012-06-01 00:51:09,1,1.4,1,N,237,239,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
28,1,2012-06-01 00:58:00,2012-06-01 01:06:13,1,3.6,1,N,43,249,2,9.7,0.5,0.5,0.0,0.0,0.0,10.7,,
29,1,2012-06-01 00:42:33,2012-06-01 00:58:22,1,4.7,1,N,164,7,1,13.7,0.5,0.5,2.9,0.0,0.0,17.6,,
30,1,2012-06-01 00:19:57,2012-06-01 00:27:14,1,1.1,1,N,66,97,1,6.1,0.5,0.5,1.42,0.0,0.0,8.52,,
31,1,2012-06-01 00:12:35,2012-06-01 00:20:15,1,1.1,1,N,211,148,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
32,1,2012-06-01 00:23:46,2012-06-01 00:29:12,1,1.0,1,N,114,107,2,5.3,0.5,0.5,0.0,0.0,0.0,6.3,,
33,1,2012-06-01 00:31:25,2012-06-01 00:40:57,1,3.0,1,N,107,141,2,9.3,0.5,0.5,0.0,0.0,0.0,10.3,,
34,1,2012-06-01 00:18:24,2012-06-01 00:44:17,1,7.8,1,N,148,7,1,21.3,0.5,0.5,8.0,0.0,0.0,30.3,,
35,1,2012-06-01 00:07:35,2012-06-01 00:14:29,1,2.0,1,N,50,163,1,6.9,0.5,0.5,1.0,0.0,0.0,8.9,,
36,1,2012-06-01 00:15:35,2012-06-01 00:27:18,1,2.2,1,N,163,137,1,8.9,0.5,0.5,1.0,0.0,0.0,10.9,,
